MY_MMult = [
40 3.657143e+00 2.664535e-15
80 3.737226e+00 7.105427e-15
120 3.857143e+00 1.065814e-14
160 3.967070e+00 1.421085e-14
200 3.981090e+00 2.131628e-14
240 4.011026e+00 2.486900e-14
280 3.993814e+00 2.842171e-14
320 3.917977e+00 3.552714e-14
360 4.049121e+00 4.973799e-14
400 4.005132e+00 4.973799e-14
440 4.007716e+00 4.973799e-14
480 3.452170e+00 6.039613e-14
520 3.505560e+00 6.394885e-14
560 3.296003e+00 6.750156e-14
600 3.099018e+00 7.460699e-14
640 4.005470e+00 8.171241e-14
680 4.002317e+00 9.237056e-14
720 3.906331e+00 1.101341e-13
760 3.986596e+00 1.065814e-13
800 4.009617e+00 8.881784e-14
];
