MY_MMult = [
40 1.454545e+00 0.000000e+00
80 1.352708e+00 0.000000e+00
120 1.351584e+00 0.000000e+00
160 1.458430e+00 0.000000e+00
200 1.512573e+00 0.000000e+00
240 1.508429e+00 0.000000e+00
280 1.518592e+00 0.000000e+00
320 1.506886e+00 0.000000e+00
360 1.423220e+00 0.000000e+00
400 1.346546e+00 0.000000e+00
440 1.474665e+00 0.000000e+00
480 1.460712e+00 0.000000e+00
520 1.384700e+00 0.000000e+00
560 1.446084e+00 0.000000e+00
600 1.379729e+00 0.000000e+00
640 1.456457e+00 0.000000e+00
680 1.363698e+00 0.000000e+00
720 1.418398e+00 0.000000e+00
760 1.117306e+00 0.000000e+00
800 1.070552e+00 0.000000e+00
];
