MY_MMult = [
40 1.000000e+00 0.000000e+00
80 1.335072e+00 0.000000e+00
120 1.283327e+00 0.000000e+00
160 1.496529e+00 0.000000e+00
200 1.463192e+00 0.000000e+00
240 1.295534e+00 0.000000e+00
280 1.403356e+00 0.000000e+00
320 1.523916e+00 0.000000e+00
360 1.340208e+00 0.000000e+00
400 1.303781e+00 0.000000e+00
440 1.155915e+00 0.000000e+00
480 1.130526e+00 0.000000e+00
520 1.258406e+00 0.000000e+00
560 1.495814e+00 0.000000e+00
600 1.425968e+00 0.000000e+00
640 1.301289e+00 0.000000e+00
680 1.398237e+00 0.000000e+00
720 1.288811e+00 0.000000e+00
760 1.328751e+00 0.000000e+00
800 1.354014e+00 0.000000e+00
];
