MY_MMult = [
40 1.376344e+00 0.000000e+00
80 1.247259e+00 0.000000e+00
120 1.290997e+00 0.000000e+00
160 1.475770e+00 0.000000e+00
200 1.521780e+00 0.000000e+00
240 1.533189e+00 0.000000e+00
280 1.444211e+00 0.000000e+00
320 1.496700e+00 0.000000e+00
360 1.482272e+00 0.000000e+00
400 1.463041e+00 0.000000e+00
440 1.463429e+00 0.000000e+00
480 1.379451e+00 0.000000e+00
520 1.311581e+00 0.000000e+00
560 1.359815e+00 0.000000e+00
600 1.363529e+00 0.000000e+00
640 1.273895e+00 0.000000e+00
680 1.352940e+00 0.000000e+00
720 1.399143e+00 0.000000e+00
760 1.136127e+00 0.000000e+00
800 1.061111e+00 0.000000e+00
];
