MY_MMult = [
40 3.764706e+00 2.664535e-15
80 3.820896e+00 7.105427e-15
120 3.764706e+00 1.065814e-14
160 3.934678e+00 1.421085e-14
200 3.962358e+00 2.131628e-14
240 4.057529e+00 2.486900e-14
280 3.928418e+00 2.842171e-14
320 4.003665e+00 3.552714e-14
360 4.033195e+00 4.973799e-14
400 3.572724e+00 4.973799e-14
440 3.244610e+00 4.973799e-14
480 3.578276e+00 6.039613e-14
520 3.965313e+00 6.394885e-14
560 4.011879e+00 6.750156e-14
600 4.001890e+00 7.460699e-14
640 3.385780e+00 8.171241e-14
680 3.308957e+00 9.237056e-14
720 3.527014e+00 1.101341e-13
760 3.556621e+00 1.065814e-13
800 3.505481e+00 8.881784e-14
];
