MY_MMult = [
40 3.282051e+00 2.664535e-15
80 2.852368e+00 7.105427e-15
120 3.156164e+00 1.065814e-14
160 3.236665e+00 1.421085e-14
200 3.294215e+00 2.131628e-14
240 3.208914e+00 2.486900e-14
280 3.263025e+00 2.842171e-14
320 3.299733e+00 3.552714e-14
360 3.202416e+00 4.973799e-14
400 3.250298e+00 4.973799e-14
440 3.270459e+00 4.973799e-14
480 3.256537e+00 6.039613e-14
520 3.127646e+00 6.394885e-14
560 3.270347e+00 6.750156e-14
600 3.274042e+00 7.460699e-14
640 3.252024e+00 8.171241e-14
680 3.220320e+00 9.237056e-14
720 3.176754e+00 1.101341e-13
760 3.223877e+00 1.065814e-13
800 3.234048e+00 8.881784e-14
];
