MY_MMult = [
40 3.545706e-01 0.000000e+00
80 1.414365e+00 0.000000e+00
120 1.408887e+00 0.000000e+00
160 1.462335e+00 0.000000e+00
200 1.517163e+00 0.000000e+00
240 1.443986e+00 0.000000e+00
280 1.496999e+00 0.000000e+00
320 1.523420e+00 0.000000e+00
360 1.418159e+00 0.000000e+00
400 1.452713e+00 0.000000e+00
440 1.184633e+00 0.000000e+00
480 1.450453e+00 0.000000e+00
520 1.383168e+00 0.000000e+00
560 1.422983e+00 0.000000e+00
600 1.396820e+00 0.000000e+00
640 1.381996e+00 0.000000e+00
680 1.336178e+00 0.000000e+00
720 1.344386e+00 0.000000e+00
760 1.314752e+00 0.000000e+00
800 1.139416e+00 0.000000e+00
];
