MY_MMult = [
40 1.454545e+00 0.000000e+00
80 1.322997e+00 0.000000e+00
120 1.525828e+00 0.000000e+00
160 1.523243e+00 0.000000e+00
200 1.527009e+00 0.000000e+00
240 1.510902e+00 0.000000e+00
280 1.522436e+00 0.000000e+00
320 1.460998e+00 0.000000e+00
360 1.401712e+00 0.000000e+00
400 1.408079e+00 0.000000e+00
440 1.456423e+00 0.000000e+00
480 1.376447e+00 0.000000e+00
520 1.491862e+00 0.000000e+00
560 1.381014e+00 0.000000e+00
600 1.337130e+00 0.000000e+00
640 1.322947e+00 0.000000e+00
680 1.377918e+00 0.000000e+00
720 1.373364e+00 0.000000e+00
760 1.249834e+00 0.000000e+00
800 1.175502e+00 0.000000e+00
];
