MY_MMult = [
40 5.289256e-01 0.000000e+00
80 6.649351e-01 0.000000e+00
120 8.209026e-01 0.000000e+00
160 8.288142e-01 0.000000e+00
200 8.274293e-01 0.000000e+00
240 8.157918e-01 0.000000e+00
280 8.017824e-01 0.000000e+00
320 7.838859e-01 0.000000e+00
360 7.676525e-01 0.000000e+00
400 7.554921e-01 0.000000e+00
440 7.505727e-01 0.000000e+00
480 7.589740e-01 0.000000e+00
520 7.524174e-01 0.000000e+00
560 7.529444e-01 0.000000e+00
600 7.399249e-01 0.000000e+00
640 7.330177e-01 0.000000e+00
680 7.287755e-01 0.000000e+00
720 7.261790e-01 0.000000e+00
760 7.147729e-01 0.000000e+00
800 6.825588e-01 0.000000e+00
];
