./test_MMult.x
MY_MMult = [
40 3.764706e+00 2.664535e-15 
80 3.335505e+00 7.105427e-15 
120 3.438806e+00 1.065814e-14 
160 3.312576e+00 1.421085e-14 
200 4.044489e+00 1.421085e-14 
240 3.841601e+00 1.776357e-14 
280 4.084853e+00 1.776357e-14 
320 4.036462e+00 2.842171e-14 
360 2.530701e+00 2.309264e-14 
400 3.834402e+00 2.842171e-14 
440 3.251794e+00 3.197442e-14 
480 3.656055e+00 3.907985e-14 
520 2.903804e+00 3.907985e-14 
560 3.871520e+00 4.618528e-14 
600 3.992717e+00 4.263256e-14 
640 3.999085e+00 4.440892e-14 
680 3.415159e+00 5.329071e-14 
720 3.430383e+00 4.973799e-14 
760 3.337992e+00 4.973799e-14 
800 3.337364e+00 4.973799e-14 
];
