./test_MMult.x
MY_MMult = [
40 3.764706e+00 2.664535e-15 
80 3.346405e+00 7.105427e-15 
120 3.626443e+00 1.065814e-14 
160 3.817335e+00 1.421085e-14 
200 4.024145e+00 1.421085e-14 
240 4.089336e+00 1.776357e-14 
280 4.081815e+00 1.776357e-14 
320 4.054191e+00 2.842171e-14 
360 3.998629e+00 2.309264e-14 
400 4.037218e+00 2.842171e-14 
440 4.064510e+00 3.197442e-14 
480 4.080509e+00 3.907985e-14 
520 3.719346e+00 3.907985e-14 
560 3.991500e+00 4.618528e-14 
600 3.814873e+00 4.263256e-14 
640 3.739465e+00 4.440892e-14 
680 1.956798e+00 5.329071e-14 
720 3.581571e+00 4.973799e-14 
760 3.703595e+00 4.973799e-14 
800 3.771667e+00 4.973799e-14 
];
