MY_MMult = [
40 1.084746e+00 0.000000e+00
80 1.381916e+00 0.000000e+00
120 1.450273e+00 0.000000e+00
160 1.523526e+00 0.000000e+00
200 1.526572e+00 0.000000e+00
240 1.531067e+00 0.000000e+00
280 1.525557e+00 0.000000e+00
320 1.530035e+00 0.000000e+00
360 1.415362e+00 0.000000e+00
400 1.471281e+00 0.000000e+00
440 1.353534e+00 0.000000e+00
480 1.272167e+00 0.000000e+00
520 1.292668e+00 0.000000e+00
560 1.419785e+00 0.000000e+00
600 1.380474e+00 0.000000e+00
640 1.479907e+00 0.000000e+00
680 1.399843e+00 0.000000e+00
720 1.450904e+00 0.000000e+00
760 1.234589e+00 0.000000e+00
800 1.316016e+00 0.000000e+00
];
