MY_MMult = [
40 3.555556e-01 0.000000e+00
80 3.436242e-01 0.000000e+00
120 1.135348e+00 0.000000e+00
160 1.519006e+00 0.000000e+00
200 1.521057e+00 0.000000e+00
240 1.527767e+00 0.000000e+00
280 1.534729e+00 0.000000e+00
320 1.508413e+00 0.000000e+00
360 1.455953e+00 0.000000e+00
400 1.473483e+00 0.000000e+00
440 1.235016e+00 0.000000e+00
480 1.337178e+00 0.000000e+00
520 1.435032e+00 0.000000e+00
560 1.449707e+00 0.000000e+00
600 1.344128e+00 0.000000e+00
640 1.387835e+00 0.000000e+00
680 1.432140e+00 0.000000e+00
720 1.190743e+00 0.000000e+00
760 1.408006e+00 0.000000e+00
800 1.239159e+00 0.000000e+00
];
