MY_MMult = [
40 1.454545e+00 0.000000e+00
80 1.322997e+00 0.000000e+00
120 1.293413e+00 0.000000e+00
160 1.515634e+00 0.000000e+00
200 1.535803e+00 0.000000e+00
240 1.520792e+00 0.000000e+00
280 1.524233e+00 0.000000e+00
320 1.517775e+00 0.000000e+00
360 1.500338e+00 0.000000e+00
400 1.490001e+00 0.000000e+00
440 1.442000e+00 0.000000e+00
480 1.227300e+00 0.000000e+00
520 1.403378e+00 0.000000e+00
560 1.436397e+00 0.000000e+00
600 1.274991e+00 0.000000e+00
640 1.396321e+00 0.000000e+00
680 1.248157e+00 0.000000e+00
720 1.343141e+00 0.000000e+00
760 1.399281e+00 0.000000e+00
800 1.239730e+00 0.000000e+00
];
