MY_MMult = [
40 3.878788e+00 2.664535e-15
80 3.518900e+00 7.105427e-15
120 3.449102e+00 1.065814e-14
160 3.820896e+00 1.421085e-14
200 4.095214e+00 1.421085e-14
240 4.057529e+00 1.776357e-14
280 4.059172e+00 1.776357e-14
320 4.001221e+00 2.842171e-14
360 4.070849e+00 2.309264e-14
400 3.951959e+00 2.842171e-14
440 3.833750e+00 3.197442e-14
480 3.736721e+00 3.907985e-14
520 3.428585e+00 3.907985e-14
560 3.093765e+00 4.618528e-14
600 3.803989e+00 4.263256e-14
640 3.657245e+00 4.440892e-14
680 3.695157e+00 5.329071e-14
720 3.880421e+00 4.973799e-14
760 3.762560e+00 4.973799e-14
800 3.622048e+00 4.973799e-14
];
