MY_MMult = [
40 1.333333e+00 0.000000e+00
80 1.336815e+00 0.000000e+00
120 1.451491e+00 0.000000e+00
160 1.506990e+00 0.000000e+00
200 1.530222e+00 0.000000e+00
240 1.535318e+00 0.000000e+00
280 1.528851e+00 0.000000e+00
320 1.527325e+00 0.000000e+00
360 1.470940e+00 0.000000e+00
400 1.420928e+00 0.000000e+00
440 1.387791e+00 0.000000e+00
480 1.278195e+00 0.000000e+00
520 1.427275e+00 0.000000e+00
560 1.373706e+00 0.000000e+00
600 1.330311e+00 0.000000e+00
640 1.262402e+00 0.000000e+00
680 1.218346e+00 0.000000e+00
720 1.237451e+00 0.000000e+00
760 1.277049e+00 0.000000e+00
800 1.347165e+00 0.000000e+00
];
