./test_MMult.x
MY_MMult = [
40 8.533333e+00 2.664535e-15 
80 7.111111e+00 7.105427e-15 
120 7.185031e+00 1.065814e-14 
160 7.447273e+00 1.421085e-14 
200 8.217771e+00 2.131628e-14 
240 7.343426e+00 2.486900e-14 
280 7.611650e+00 2.842171e-14 
320 7.793555e+00 3.552714e-14 
360 7.235171e+00 4.973799e-14 
400 7.573516e+00 4.973799e-14 
440 7.609791e+00 4.973799e-14 
480 7.563656e+00 6.039613e-14 
520 7.466440e+00 6.394885e-14 
560 7.542995e+00 6.750156e-14 
600 7.508604e+00 7.460699e-14 
640 7.564283e+00 8.171241e-14 
680 7.542868e+00 9.237056e-14 
720 7.524706e+00 1.101341e-13 
760 7.560405e+00 1.065814e-13 
800 7.483028e+00 8.881784e-14 
];
