./test_MMult.x
MY_MMult = [
40 8.533333e+00 2.664535e-15 
80 6.872483e+00 7.105427e-15 
120 5.907692e+00 1.065814e-14 
160 7.713748e+00 1.421085e-14 
200 8.117707e+00 2.131628e-14 
240 8.107918e+00 2.486900e-14 
280 8.026325e+00 2.842171e-14 
320 7.602784e+00 3.552714e-14 
360 7.725782e+00 4.973799e-14 
400 7.673401e+00 4.973799e-14 
440 7.502224e+00 4.973799e-14 
480 7.603960e+00 6.039613e-14 
520 7.441545e+00 6.394885e-14 
560 7.443722e+00 6.750156e-14 
600 7.357324e+00 7.460699e-14 
640 7.319187e+00 8.171241e-14 
680 7.515015e+00 9.237056e-14 
720 7.349065e+00 1.101341e-13 
760 7.314743e+00 1.065814e-13 
800 7.273399e+00 8.881784e-14 
];
