MY_MMult = [
40 3.535912e-01 0.000000e+00
80 3.514070e-01 0.000000e+00
120 1.017368e+00 0.000000e+00
160 1.513394e+00 0.000000e+00
200 1.530368e+00 0.000000e+00
240 1.510159e+00 0.000000e+00
280 1.355187e+00 0.000000e+00
320 1.488102e+00 0.000000e+00
360 1.469180e+00 0.000000e+00
400 1.333347e+00 0.000000e+00
440 1.130271e+00 0.000000e+00
480 1.328823e+00 0.000000e+00
520 1.370268e+00 0.000000e+00
560 1.134305e+00 0.000000e+00
600 1.389072e+00 0.000000e+00
640 1.369653e+00 0.000000e+00
680 1.309702e+00 0.000000e+00
720 1.276520e+00 0.000000e+00
760 1.276720e+00 0.000000e+00
800 1.270632e+00 0.000000e+00
];
