MY_MMult = [
40 3.368421e+00 2.664535e-15
80 3.230284e+00 7.105427e-15
120 3.818785e+00 1.065814e-14
160 3.965150e+00 1.421085e-14
200 4.039384e+00 2.131628e-14
240 4.020358e+00 2.486900e-14
280 4.000000e+00 2.842171e-14
320 4.006848e+00 3.552714e-14
360 3.956245e+00 4.973799e-14
400 3.798896e+00 4.973799e-14
440 3.950288e+00 4.973799e-14
480 4.007973e+00 6.039613e-14
520 3.917203e+00 6.394885e-14
560 3.997451e+00 6.750156e-14
600 3.927523e+00 7.460699e-14
640 3.976186e+00 8.171241e-14
680 3.957285e+00 9.237056e-14
720 3.958238e+00 1.101341e-13
760 3.935963e+00 1.065814e-13
800 3.876424e+00 8.881784e-14
];
