Running test_MMult for different MMult functions:

When MY_MMult is from MMult0:
MY_MMult = [
120 5.374806e-01 1.065814e-14
160 6.437215e-01 1.421085e-14
200 6.685609e-01 1.421085e-14
240 6.681650e-01 1.776357e-14
280 6.739841e-01 1.776357e-14
320 6.607717e-01 2.842171e-14
360 6.454139e-01 2.309264e-14
400 6.158406e-01 2.842171e-14
440 6.533342e-01 3.197442e-14
480 6.258265e-01 3.907985e-14
520 6.249772e-01 3.907985e-14
560 6.332030e-01 4.618528e-14
600 6.259536e-01 4.263256e-14
640 6.253920e-01 4.440892e-14
680 5.848358e-01 5.329071e-14
720 6.014512e-01 4.973799e-14
760 5.429787e-01 4.973799e-14
800 5.804818e-01 4.973799e-14
];

When MY_MMult is from MMult_1x4_9
MY_MMult = [
40 1.518387e-01 2.664535e-15
80 6.476913e-01 7.105427e-15
120 6.225905e-01 1.065814e-14
160 6.564103e-01 1.421085e-14
200 6.737977e-01 1.421085e-14
240 6.713124e-01 1.776357e-14
280 6.759765e-01 1.776357e-14
320 6.615187e-01 2.842171e-14
360 6.719088e-01 2.309264e-14
400 6.517411e-01 2.842171e-14
440 6.438116e-01 3.197442e-14
480 6.166319e-01 3.907985e-14
520 6.142448e-01 3.907985e-14
560 6.184958e-01 4.618528e-14
600 5.477625e-01 4.263256e-14
640 5.844762e-01 4.440892e-14
680 5.763494e-01 5.329071e-14
720 6.495788e-01 4.973799e-14
760 6.460565e-01 4.973799e-14
800 6.344222e-01 4.973799e-14
];

When MY_MMult is from MMult_4x4_3
MY_MMult = [
40 2.173175e-01 0.000000e+00
80 6.436204e-01 0.000000e+00
120 5.958621e-01 0.000000e+00
160 6.288961e-01 0.000000e+00
200 6.472754e-01 0.000000e+00
240 6.436353e-01 0.000000e+00
280 6.422187e-01 0.000000e+00
320 6.270188e-01 0.000000e+00
360 6.010241e-01 0.000000e+00
400 6.242806e-01 0.000000e+00
440 6.195628e-01 0.000000e+00
480 6.217714e-01 0.000000e+00
520 6.377619e-01 0.000000e+00
560 6.217585e-01 0.000000e+00
600 6.308319e-01 0.000000e+00
640 6.295803e-01 0.000000e+00
680 6.256687e-01 0.000000e+00
720 5.697203e-01 0.000000e+00
760 6.010488e-01 0.000000e+00
800 5.849901e-01 0.000000e+00
];

When MY_MMult is from MMult_4x4_4
MY_MMult = [
40 1.520190e-01 0.000000e+00
80 6.301538e-01 0.000000e+00
120 6.178048e-01 0.000000e+00
160 5.910534e-01 0.000000e+00
200 6.230772e-01 0.000000e+00
240 6.185373e-01 0.000000e+00
280 6.144889e-01 0.000000e+00
320 5.846991e-01 0.000000e+00
360 5.928072e-01 0.000000e+00
400 5.962029e-01 0.000000e+00
440 4.698265e-01 0.000000e+00
480 5.641312e-01 0.000000e+00
520 5.222520e-01 0.000000e+00
560 5.433142e-01 0.000000e+00
600 5.299515e-01 0.000000e+00
640 5.247829e-01 0.000000e+00
680 4.725732e-01 0.000000e+00
720 5.016322e-01 0.000000e+00
760 5.193756e-01 0.000000e+00
800 4.904823e-01 0.000000e+00
];

When MY_MMult is from MMult_4x4_5
MY_MMult = [
40 6.881720e-01 0.000000e+00
80 6.723572e-01 0.000000e+00
120 6.427376e-01 0.000000e+00
160 6.530092e-01 0.000000e+00
200 6.846384e-01 0.000000e+00
240 5.234579e-01 0.000000e+00
280 7.034996e-01 0.000000e+00
320 5.966171e-01 0.000000e+00
360 6.455657e-01 0.000000e+00
400 7.039620e-01 0.000000e+00
440 6.843792e-01 0.000000e+00
480 6.851281e-01 0.000000e+00
520 6.482155e-01 0.000000e+00
560 5.594906e-01 0.000000e+00
600 6.720848e-01 0.000000e+00
640 6.416111e-01 0.000000e+00
680 6.708026e-01 0.000000e+00
720 6.725086e-01 0.000000e+00
760 6.718952e-01 0.000000e+00
800 6.733799e-01 0.000000e+00
];
