MY_MMult = [
40 2.098361e+00 0.000000e+00
80 1.467049e+00 0.000000e+00
120 2.057143e+00 0.000000e+00
160 2.122280e+00 0.000000e+00
200 2.121735e+00 0.000000e+00
240 2.085225e+00 0.000000e+00
280 2.077116e+00 0.000000e+00
320 2.070451e+00 0.000000e+00
360 1.926501e+00 0.000000e+00
400 2.036401e+00 0.000000e+00
440 1.821553e+00 0.000000e+00
480 1.883106e+00 0.000000e+00
520 2.014687e+00 0.000000e+00
560 1.852177e+00 0.000000e+00
600 1.232412e+00 0.000000e+00
640 1.267342e+00 0.000000e+00
680 1.348007e+00 0.000000e+00
720 1.507969e+00 0.000000e+00
760 1.825757e+00 0.000000e+00
800 1.581956e+00 0.000000e+00
];
