MY_MMult = [
40 2.133333e+00 0.000000e+00
80 2.188034e+00 0.000000e+00
120 2.347826e+00 0.000000e+00
160 2.371056e+00 0.000000e+00
200 2.480620e+00 0.000000e+00
240 2.359447e+00 0.000000e+00
280 2.467349e+00 0.000000e+00
320 2.379666e+00 0.000000e+00
360 2.236036e+00 0.000000e+00
400 2.029813e+00 0.000000e+00
440 1.997280e+00 0.000000e+00
480 2.141596e+00 0.000000e+00
520 2.291133e+00 0.000000e+00
560 2.216996e+00 0.000000e+00
600 2.318803e+00 0.000000e+00
640 2.342182e+00 0.000000e+00
680 2.351201e+00 0.000000e+00
720 2.340443e+00 0.000000e+00
760 2.360771e+00 0.000000e+00
800 2.336155e+00 0.000000e+00
];
